id,title,developer1,developer2,developer3,developer4
3500,Mystery P.I.&trade; - The Lottery Ticket,SpinTop Games
3510,Amazing Adventures The Lost Tomb&trade;,SpinTop Games
3520,Mystery P.I.&trade; - The Vegas Heist,SpinTop Games
3530,Amazing Adventures Around the World,SpinTop Games
3540,Peggle&trade; Nights,"PopCap Games, Inc."
3560,Bejeweled Twist,"PopCap Games, Inc."
3570,Mystery P.I.&trade; - The New York Fortune,SpinTop Games
3580,The Wizard's Pen&trade;,"PopCap Games, Inc."
3590,Plants vs. Zombies GOTY Edition,"PopCap Games, Inc."
3600,Escape Rosecliff Island,SpinTop Games
3610,Mystery P.I. - Lost in Los Angeles,SpinTop Games
3620,Zuma's Revenge!,"PopCap Games, Inc."
3630,Bookworm&trade; Adventures Volume&nbsp;2,"PopCap Games, Inc."
3632,Bookworm&trade; Adventures Volume&nbsp;2 Demo,"PopCap Games, Inc."
3700,Sniper Elite,Rebellion
3710,Judge Dredd: Dredd vs. Death,Rebellion
3720,Evil Genius,Elixir Studios
3730,Aliens versus Predator Classic 2000,Rebellion
3800,Advent Rising,GlyphX Games
3810,BloodRayne,Terminal Reality
3820,BloodRayne 2,Terminal Reality
3830,Psychonauts,Double Fine Productions
3838,Psychonauts Original Soundtrack,Double Fine Productions
3839,Psychonauts Original Score,Double Fine Productions
3900,Sid Meier's Civilization&Acirc;&reg; IV,Firaxis Games
3910,Sid Meier's Civilization&Acirc;&reg; III Complete,Firaxis Games
3920,Sid Meier's Pirates!,Firaxis Games
3960,Shattered Union,PopTop
3980,CivCity: Rome,FireFly Studios,Firaxis Games
3990,Civilization IV&Acirc;&reg;: Warlords,Firaxis Games
4000,Garry's Mod,Facepunch Studios
4100,Poker Superstars II,Funkitron
4230,RACE - The WTCC Game,SimBin
4290,RACE: Caterham Expansion,SimBin
4300,RoboBlitz,Naked Sky Entertainment
4420,Silverfall,Monte Cristo
4460,City Life 2008,Monte Cristo
4470,Silverfall: Earth Awakening,Monte Cristo
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World
4520,Full Spectrum Warrior,Pandemic Studios
4530,Full Spectrum Warrior: Ten Hammers,Pandemic Studios
4540,Titan Quest,Iron Lore Entertainment
4550,Titan Quest - Immortal Throne,Iron Lore Entertainment
4560,Company of Heroes,Relic Entertainment
4570,"Warhammer&Acirc;&reg; 40,000: Dawn of War&Acirc;&reg; - Game of the Year Edition",Relic Entertainment
4580,"Warhammer&Acirc;&reg; 40,000: Dawn of War&Acirc;&reg; - Dark Crusade",Relic Entertainment
4700,Medieval II: Total War&acirc;&#132;&cent;,The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)
4720,Condemned: Criminal Origins,Monolith
4760,Rome: Total War&acirc;&#132;&cent; - Collection,The Creative Assembly
4770,Rome: Total War&acirc;&#132;&cent; - Alexander,The Creative Assembly
4780,Medieval II: Total War&acirc;&#132;&cent; Kingdoms,The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)
4800,Heroes of Annihilated Empires,GSC Game World
4850,Cossacks: Back to War,GSC Game World
4856,Cossacks: Campaign Expansion,GSC Game World
