id,tag
1200,Realistic
1200,Multiplayer
1200,Tactical
1200,Shooter
1200,Simulation
1200,Historical
1200,Team-Based
1200,Military
1200,Singleplayer
1200,Classic
1230,Action
1230,FPS
1230,World War II
1230,Mod
1230,Multiplayer
1250,FPS
1250,Zombies
1250,Co-op
1250,Survival
1250,Action
1250,Horror
1250,Multiplayer
1250,Online Co-Op
1250,Shooter
1250,Gore
1250,Team-Based
1250,First-Person
1250,Moddable
1250,Survival Horror
1250,Great Soundtrack
1250,Singleplayer
1250,Class-Based
1250,Difficult
1250,Adventure
1250,Comedy
1256,Action
1257,Action
1280,Action
1280,FPS
1280,World War II
1280,Multiplayer
1280,Realistic
1280,Tactical
1280,Shooter
1280,War
1280,Mod
1280,Free to Play
1300,Action
1300,FPS
1300,Cyberpunk
1300,Sci-fi
1300,Classic
1300,Shooter
1300,Singleplayer
1300,First-Person
1300,Episodic
1500,Strategy
1500,Indie
1500,RTS
1500,Singleplayer
1500,Retro
1500,Story Rich
1500,Action
1500,Top-Down
1510,Hacking
1510,Indie
1510,Strategy
1510,Singleplayer
1510,Cyberpunk
1510,Great Soundtrack
1510,Classic
1510,Sci-fi
1510,Simulation
1510,2D
1510,Experimental
1510,Real-Time with Pause
1510,Story Rich
1510,Atmospheric
1520,Strategy
1520,Indie
1520,Multiplayer
1520,Wargame
1520,Cold War
1520,Real-Time with Pause
1520,Atmospheric
1520,Simulation
1520,RTS
1520,2D
1520,Diplomacy
1520,Tactical
1520,Singleplayer
1520,War
1520,Great Soundtrack
1530,Indie
1530,Strategy
1530,RTS
1530,Multiplayer
1530,Singleplayer
1600,Strategy
1600,Simulation
1600,Naval
1610,Strategy
1610,4X
1610,Sci-fi
1610,Turn-Based
1610,Turn-Based Strategy
1610,Space
1610,Singleplayer
1620,Strategy
1620,Classic
1620,Tactical
1620,Turn-Based Tactics
1620,Cult Classic
1620,Turn-Based Combat
1620,Isometric
1620,Turn-Based
1620,Open World
1620,Turn-Based Strategy
1620,RPG
1620,Singleplayer
1630,Strategy
1630,Turn-Based Strategy
1630,Fantasy
1630,Turn-Based
1630,Classic
1630,Dark Fantasy
1630,Atmospheric
1630,RPG
1640,Turn-Based Strategy
1640,Strategy
1640,Classic
1640,Atmospheric
1640,Dark Fantasy
1640,Turn-Based
1640,Fantasy
1640,Tactical
1640,Gothic
1640,RPG
1640,Great Soundtrack
1670,Strategy
1670,Simulation
1670,Tanks
1670,Military
1690,Strategy
1690,4X
1690,Space
1690,Sci-fi
1690,Turn-Based
1690,Singleplayer
1690,Multiplayer
1690,Turn-Based Strategy
1700,RPG
1700,First-Person
1700,Classic
1700,Atmospheric
1700,Dark Fantasy
1700,Fantasy
1700,Singleplayer
1700,Action
1700,Story Rich
1700,Underground
1700,Adventure
1840,Animation &amp; Modeling
1840,Video Production
1840,Free to Play
1840,Software
1840,Movie
1840,Sandbox
1840,Difficult
1840,Action
1840,Funny
1840,Comedy
1840,Singleplayer
1900,Strategy
1900,RTS
1900,Sci-fi
1900,Multiplayer
1900,Futuristic
1930,RPG
1930,Open World
1930,Fantasy
1930,Third Person
1930,Adventure
1930,Multiplayer
1930,Action
1930,Singleplayer
1930,Action RPG
1930,Medieval
1930,Story Rich
2100,RPG
2100,Action
2100,First-Person
2100,Fantasy
2100,Adventure
2100,Dark Fantasy
2100,Magic
2100,Classic
2100,Swordplay
2100,Multiple Endings
2100,Stealth
2100,Story Rich
2100,Singleplayer
2100,Hack and Slash
2100,Medieval
2100,Atmospheric
2100,Action RPG
2100,Gore
2100,Multiplayer
2100,FPS
2200,FPS
2200,Action
2200,Classic
2200,Arena Shooter
2200,Multiplayer
2200,Competitive
2200,Shooter
2200,1990's
2200,First-Person
2200,Gore
2200,Difficult
2200,Moddable
2200,Fast-Paced
2200,Sci-fi
2200,Singleplayer
2200,e-sports
2210,Action
2210,FPS
2210,Sci-fi
2210,Shooter
2210,Horror
2210,Singleplayer
2210,Fast-Paced
2210,First-Person
2210,Multiplayer
2210,Classic
2210,Atmospheric
2210,Gore
2210,Dark
2210,Arena Shooter
2270,FPS
2270,Classic
2270,Action
2270,World War II
2270,Singleplayer
2270,Retro
2270,First-Person
2270,1990's
2270,Shooter
2270,Moddable
2270,Adventure
2280,Classic
2280,FPS
2280,Action
2280,Great Soundtrack
2280,Moddable
2280,1990's
2280,Demons
2280,Singleplayer
