id,title,genre1,genre2,genre3,genre4
3730,Aliens versus Predator Classic 2000,Action
3800,Advent Rising,Action
3810,BloodRayne,Action
3820,BloodRayne 2,Action
3830,Psychonauts,Action
3838,Psychonauts Original Soundtrack,Action
3839,Psychonauts Original Score,Action
3900,Sid Meier's Civilization&Acirc;&reg; IV,Strategy
3910,Sid Meier's Civilization&Acirc;&reg; III Complete,Strategy
3920,Sid Meier's Pirates!,RPG
3960,Shattered Union,Strategy
3980,CivCity: Rome,Strategy
3990,Civilization IV&Acirc;&reg;: Warlords,Strategy
4000,Garry's Mod,Indie,Simulation
4100,Poker Superstars II,Casual,Strategy,Indie
4230,RACE - The WTCC Game,Racing
4290,RACE: Caterham Expansion,Racing
4300,RoboBlitz,Action,Indie
4420,Silverfall,RPG
4460,City Life 2008,Simulation,Strategy
4470,Silverfall: Earth Awakening,RPG
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,Action,RPG
4520,Full Spectrum Warrior,Action,Strategy
4530,Full Spectrum Warrior: Ten Hammers,Action,Strategy
4540,Titan Quest,Action,RPG
4550,Titan Quest - Immortal Throne,Action,RPG
4560,Company of Heroes,Action,Strategy
4570,"Warhammer&Acirc;&reg; 40,000: Dawn of War&Acirc;&reg; - Game of the Year Edition",Strategy
4580,"Warhammer&Acirc;&reg; 40,000: Dawn of War&Acirc;&reg; - Dark Crusade",Strategy
4700,Medieval II: Total War&acirc;&#132;&cent;,Strategy
4720,Condemned: Criminal Origins,Action
4760,Rome: Total War&acirc;&#132;&cent; - Collection,Strategy
4770,Rome: Total War&acirc;&#132;&cent; - Alexander,Strategy
4780,Medieval II: Total War&acirc;&#132;&cent; Kingdoms,Strategy
4800,Heroes of Annihilated Empires,Strategy
4850,Cossacks: Back to War,Strategy
4856,Cossacks: Campaign Expansion,Strategy
4870,Cossacks: Art of War,Strategy
4880,Cossacks: European Wars,Strategy
4890,Cossacks II: Battle for Europe,Strategy
4900,Zen of Sudoku,Indie,Casual
4920,Natural Selection 2,Action,Indie,Strategy
6000,STAR WARS&acirc;&#132;&cent; Republic Commando&acirc;&#132;&cent;,Action
6010,Indiana Jones&Acirc;&reg; and the Fate of Atlantis&acirc;&#132;&cent;,Adventure
6020,STAR WARS&acirc;&#132;&cent; Jedi Knight - Jedi Academy&acirc;&#132;&cent;,Action
6030,STAR WARS&acirc;&#132;&cent; Jedi Knight II - Jedi Outcast&acirc;&#132;&cent;,Action
6040,The Dig&Acirc;&reg;,Adventure
6060,STAR WARS&acirc;&#132;&cent; Battlefront&acirc;&#132;&cent; II,Action
6080,Thrillville&Acirc;&reg;: Off the Rails&acirc;&#132;&cent;,Strategy
6090,Armed and Dangerous&Acirc;&reg;,Action
6120,Shank,Action,Indie
6200,Ghost Master&Acirc;&reg;,Strategy
6210,Vegas: Make It Big&trade;,Strategy
6220,FlatOut,Racing
6250,Making History: The Calm &amp; the Storm,Action,Strategy
6270,Ducati World Championship,Racing
6300,Dreamfall: The Longest Journey,Adventure,RPG
6310,The Longest Journey,Action,Adventure,RPG
6370,Bloodline Champions,Action,Free to Play,Massively Multiplayer
6400,Joint Task Force,Action,Strategy
6420,Nexus - The Jupiter Incident,Indie,Simulation,Strategy
6510,Lost Planet&acirc;&#132;&cent;: Extreme Condition,Action,Adventure
6550,Devil May Cry&Acirc;&reg; 3 Special Edition,Action
6600,Bullet Candy,Casual,Indie
6800,Commandos: Behind Enemy Lines,Action
6810,Commandos: Beyond the Call of Duty,Action
6830,Commandos 2: Men of Courage,Action
6840,Commandos 3: Destination Berlin,Action
6850,Hitman 2: Silent Assassin,Action
6860,Hitman: Blood Money,Action
6870,Battlestations: Midway,Action
6880,Just Cause,Action
6900,Hitman: Codename 47,Action
6910,Deus Ex: Game of the Year Edition,Action
6920,Deus Ex: Invisible War,Action
6980,Thief: Deadly Shadows,Action
7000,Tomb Raider: Legend,Action,Adventure
7010,Project: Snowblind,Action
7020,Rogue Trooper,Action
7110,Jade Empire&acirc;&#132;&cent;: Special Edition,RPG
7200,Trackmania United Forever Star Edition,Racing
7210,"Runaway, A Road Adventure",Adventure
7220,"Runaway, The Dream of The Turtle",Adventure
7260,Loki,RPG
7340,Azada,Casual,Indie
7510,X-Blades,Action,Adventure,RPG
7520,Two Worlds II,RPG
7530,Two Worlds II Castle Defense,Strategy
7600,Sid Meier's Railroads!,Strategy
7610,Railroad Tycoon 3,Strategy
7620,Railroad Tycoon II Platinum,Strategy
7650,X-COM: Terror From the Deep,Strategy
7660,X-COM: Apocalypse,Strategy
7670,BioShock&acirc;&#132;&cent;,Action,RPG
7730,X-COM: Interceptor,Strategy
7760,X-COM: UFO Defense,Strategy
7770,X-COM: Enforcer,Strategy
7830,Men of War&acirc;&#132;&cent;,Strategy
7840,Death Track&Acirc;&reg;: Resurrection,Racing
7860,NecroVision,Action
7940,Call of Duty&Acirc;&reg; 4: Modern Warfare&Acirc;&reg;,Action
7970,Cabela's&reg; Big Game Hunter&trade; Trophy Bucks,Sports
8000,Tomb Raider: Anniversary,Action,Adventure
8080,Kane and Lynch: Dead Men&acirc;&#132;&cent;,Action
8100,Conflict: Denied Ops,Action
8140,Tomb Raider: Underworld,Action,Adventure
8170,Battlestations Pacific,Action,Strategy
8190,Just Cause 2,Action,Adventure
8230,Sam &amp; Max 104: Abe Lincoln Must Die!,Action,Adventure
8310,Bone: Out From Boneville,Adventure
8320,Bone: The Great Cow Race,Adventure
8330,Telltale Texas Hold &acirc;&#128;&#152;Em,Casual
8340,Strong Bad's Cool Game for Attractive People: Season 1,Adventure
8400,Geometry Wars: Retro Evolved,Casual
8500,EVE Online,Massively Multiplayer,RPG
8600,RACE 07,Racing
8650,RACE 07: Andy Priaulx Crowne Plaza Raceway (Free DLC),Racing
8660,GTR Evolution Expansion Pack for RACE 07,Racing
8690,STCC - The Game 1 - Expansion Pack for RACE 07,Racing
8780,RACE On,Racing
8790,GTR 2 FIA GT Racing Game,Racing,Simulation,Sports
8800,Civilization IV: Beyond the Sword,Strategy
8850,BioShock&Acirc;&reg; 2,Action
8870,BioShock Infinite,Action
8880,Freedom Force,RPG,Strategy
8890,Freedom Force vs. the Third Reich,RPG,Strategy
8930,Sid Meier's Civilization&Acirc;&reg; V,Strategy
8970,Axel &amp; Pixel,Indie
8980,Borderlands,Action,RPG
8990,Borderlands: The Zombie Island of Dr. Ned,Action,RPG
9000,Spear of Destiny,Action
9010,Return to Castle Wolfenstein,Action
9030,QUAKE Mission Pack 2: Dissolution of Eternity,Action
9040,QUAKE Mission Pack 1: Scourge of Armagon,Action
9050,DOOM 3,Action
9060,HeXen II,Action
9070,DOOM 3 Resurrection of Evil,Action
9160,Master Levels for Doom II,Action
9180,Commander Keen,Action
9200,RAGE,Action
9310,"Warhammer&Acirc;&reg; 40,000: Dawn Of War&Acirc;&reg; &acirc;&#128;&#147; Winter Assault",Strategy
9340,Company of Heroes: Opposing Fronts,Action,Strategy
9350,Supreme Commander,Strategy
9420,Supreme Commander: Forged Alliance,Strategy
9450,"Warhammer&Acirc;&reg; 40,000: Dawn of War&Acirc;&reg; - Soulstorm",Strategy
9460,Frontlines&acirc;&#132;&cent;: Fuel of War&acirc;&#132;&cent;,Action
9480,Saints Row 2,Action
9500,Gish,Indie
9710,Desperados 2: Cooper's Revenge,Action
9730,Tycoon City: New York,Simulation
9760,Act of War: High Treason,Action
9800,Death to Spies,Action,Adventure
